Lawyer,attorney,solicitor,counsel,litigator,barrister,,,,,
Judge,presiding_judge,District_Judge,Supreme_Court,Circuit_Judge,Superior_Court_Judge,Chief _Justice,,,,
Complaint,allegation,affidavit,grievance,counterclaim,complaint_alleges,petition,,,,
Statute,law,statutory,Act,constitutional,RICO,Legislative,,,,
Plaintiff,claimant,Lead_Plaintiff,Respondent,lawsuit,tort,Legal_Complaint,Civil_Action,,,
Accuser,Mesereau,Tom_Sneddon,sexually_assaulted,child_molestation,victim,,,,,
Witness,eyewitness,testimony,cross_examination,corroborate,Evidence,,,,,
Victim,assailant,complainant,survivor,attacker,Sexual_Offence,Assault,Battery,Law_Suit,,
Petitioner,appellant,writ_petition,complainant,prima_facie,ex_parte,,,,,
Violation,blatant_violation,flagrant_violation,breach,flouting,infringements,,,,,
Manslaughter,negligent_homicide,involuntary_manslaughter,attempted_murder,vehicular_manslaughter,Acquitted,Conviction,Inquest,Guilty_plea,,
Murder,Homicide,Murderer,Murder_Suspect,Killer,Death,Criminal,,,,
Assault,Weapon,Threat,Sexual_Assault,Violence,Criminal,,,,,
Appeal,Appellate_Court,Supreme_Court,Appellate,Ninth_Circuit,Judgment,Guilty_Plea,,,,
Battery,Assault,Criminal,Violence,Non_Fatal_Offence,Grievous_Harm,Inflicted_Harm,,,,
Crime,Organized_Crime,Child_Abuse,Homicide,Cybercrime,Crime_Unit,Rape,,,,
Mayhem,Mania,Criminal_Defense,Criminal_Act,Insanity,Victim,,,,,
Obscenity,pornography,vulgarity,indecent,lewdness,child_pornography,,,,,
Rape,Sexual_Abuse,Domestic_Violence,Violence,Torture,Sexual_Offence,Gang_rape,Consensual_Rape,Martial_Rape,,
Theft,thieves,identity_theft,petty_theft,grand_theft,Permanently_Depriving,Intention,Criminal_Charge,,,
Defect,flaw,abnormality,faulty,deformity,birth_defect,genetic_defect,,,,
Consumer,retail,customer,products,PPI,e_commerce,Consumer_Product,,,,
Felony,misdemeanor,aggravated_assault,deadly_weapon,aggravated_battery,grand_theft,,,,,
Warranty,lifetime_warranty,Guarantee,OEM,implied_warranty,Contractual,,,,,
Copyright,copyright_infringement,DMCA,intellectual_property_rights,copyrighted_material,patent,antipiracy,,,,
Trademark,registered_trademark,trademark_infringement,logo,intellectual_property_rights,Trademark_Law,Violation,,,,
Patent,patent_infringement,intellectual_property,patent_infringement_suit,inventions,IPR,,,,,
Disclaimer,caveat,legal_disclaimer,cautionary_note,Contractual,Disavowal,,,,,
Allegation,assertion,complaint,unsubstantiated_claims,False_Allegation,Claimed_Fact,,,,,
Abandonment,abrogation,abdication,disposition,Civil_Proceeding,Divorce,,,,,
Immunity,Protection,Sovereignty,Exclusion,Ministerial_act,Liabilities,,,,,
Discrimination,Racism,gender_discrimination,Harassment,Inequality,Affirmative_Action,,,,,
